shipment_id,origin,destination,route_type,material,quantity_tonnes,distance_km,freight_cost_inr,shipment_date,transporter
SHP00001,Mumbai,Pune,Short,Packaged Foods,13.7,151.9,6210,2024-01-01,Western Carriers
SHP00002,Delhi,Jaipur,Short,Steel Coils,16.3,276.7,13244,2024-01-01,Om Sai Transport
SHP00003,Delhi,Jaipur,Short,Electronics,10.4,280.0,8595,2024-01-01,Western Carriers
SHP00004,Delhi,Jaipur,Short,FMCG,13.3,280.4,11137,2024-01-01,Shivam Freight Co
SHP00005,Chennai,Bangalore,Short,FMCG,15.1,351.6,14599,2024-01-01,VRL Logistics
SHP00006,Ahmedabad,Mumbai,Medium,FMCG,22.7,526.8,28922,2024-01-01,Shivam Freight Co
SHP00007,Ahmedabad,Mumbai,Medium,Automobile Parts,18.0,531.8,23407,2024-01-01,Shivam Freight Co
SHP00008,Kolkata,Bhubaneswar,Medium,Electronics,22.9,440.9,25353,2024-01-01,Shivam Freight Co
SHP00009,Kolkata,Bhubaneswar,Medium,Packaged Foods,13.4,436.4,14557,2024-01-01,Om Sai Transport
SHP00010,Kolkata,Bhubaneswar,Medium,FMCG,15.7,442.9,17396,2024-01-01,VRL Logistics
SHP00011,Bangalore,Hyderabad,Medium,Electronics,14.0,567.7,19064,2024-01-01,Shivam Freight Co
SHP00012,Bangalore,Hyderabad,Medium,Steel Coils,12.6,570.9,17148,2024-01-01,SafeExpress
SHP00013,Mumbai,Delhi,Long,FMCG,13.3,1421.5,38367,2024-01-01,Shivam Freight Co
SHP00014,Mumbai,Delhi,Long,Textiles,10.5,1417.8,30203,2024-01-01,Shivam Freight Co
SHP00015,Mumbai,Delhi,Long,Textiles,24.1,1417.7,70491,2024-01-01,Om Sai Transport
SHP00016,Delhi,Kolkata,Long,Steel Coils,19.6,1513.1,59043,2024-01-01,Om Sai Transport
SHP00017,Delhi,Kolkata,Long,Automobile Parts,18.1,1512.0,55483,2024-01-01,TCI Freight
SHP00018,Mumbai,Pune,Short,FMCG,12.1,154.0,5567,2024-01-02,Shivam Freight Co
SHP00019,Delhi,Jaipur,Short,Packaged Foods,21.9,281.0,18373,2024-01-02,SafeExpress
SHP00020,Chennai,Bangalore,Short,Packaged Foods,24.6,350.2,23834,2024-01-02,Western Carriers
SHP00021,Chennai,Bangalore,Short,Textiles,20.2,351.8,19472,2024-01-02,Western Carriers
