route,week_of,cost_per_tonne_km,vs_own_history,vs_similar_routes,flagged,matched_note_id,reason
Ahmedabad-Mumbai,2024-01-01,2.44,+0.0% vs this route's past average,-0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-01-01,2.41,+0.0% vs this route's past average,-2.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-01-01,2.74,+0.0% vs this route's past average,-7.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-01-01,2.94,+0.0% vs this route's past average,+2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-01-01,2.01,+0.0% vs this route's past average,-2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-01-01,2.49,+0.0% vs this route's past average,+2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-01-01,2.06,+0.0% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-01-01,3.00,+0.0% vs this route's past average,+5.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-01-08,2.45,+0.4% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-01-08,2.39,-0.8% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-01-08,2.76,+0.7% vs this route's past average,-7.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-01-08,2.94,+0.0% vs this route's past average,+1.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-01-08,1.99,-1.0% vs this route's past average,-2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-01-08,2.50,+0.4% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-01-08,2.04,-1.0% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-01-08,3.02,+0.7% vs this route's past average,+6.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-01-15,2.47,+1.0% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-01-15,2.42,+0.8% vs this route's past average,-2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-01-15,2.72,-1.1% vs this route's past average,-8.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-01-15,2.96,+0.7% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-01-15,2.00,+0.0% vs this route's past average,-2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-01-15,2.51,+0.6% vs this route's past average,+2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-01-15,2.06,+0.5% vs this route's past average,+3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-01-15,3.00,-0.3% vs this route's past average,+5.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-01-22,2.43,-1.0% vs this route's past average,-0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-01-22,2.40,-0.3% vs this route's past average,-2.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-01-22,2.72,-0.7% vs this route's past average,-8.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-01-22,2.94,-0.2% vs this route's past average,+3.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-01-22,2.00,+0.0% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-01-22,2.48,-0.8% vs this route's past average,+2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-01-22,2.07,+0.8% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-01-22,2.98,-0.9% vs this route's past average,+5.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-01-29,2.44,-0.3% vs this route's past average,-0.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-01-29,2.40,-0.2% vs this route's past average,-3.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-01-29,2.76,+0.9% vs this route's past average,-7.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-01-29,2.96,+0.5% vs this route's past average,+3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-01-29,1.99,-0.5% vs this route's past average,-2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-01-29,2.52,+1.0% vs this route's past average,+4.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-01-29,2.05,-0.4% vs this route's past average,+3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-01-29,2.99,-0.3% vs this route's past average,+4.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-02-05,2.48,+1.4% vs this route's past average,+1.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-02-05,2.40,-0.2% vs this route's past average,-3.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-02-05,2.75,+0.4% vs this route's past average,-7.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-02-05,2.95,+0.1% vs this route's past average,+2.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-02-05,1.99,-0.4% vs this route's past average,-2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-02-05,2.48,-0.8% vs this route's past average,+1.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-02-05,2.04,-0.8% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-02-05,3.00,+0.1% vs this route's past average,+5.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-02-12,2.46,+0.3% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-02-12,2.40,-0.1% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-02-12,2.77,+1.0% vs this route's past average,-6.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-02-12,2.96,+0.4% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-02-12,2.00,+0.2% vs this route's past average,-2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-02-12,2.51,+0.5% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-02-12,2.06,+0.3% vs this route's past average,+3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-02-12,2.97,-0.9% vs this route's past average,+3.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-02-19,2.44,-0.5% vs this route's past average,-0.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-02-19,2.43,+1.1% vs this route's past average,-1.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
